artist,title,year,medium,dimensions,price,description,image_filename,image_url,artsy_url
Tomás Sánchez,El Anochecer ,1987,,,,,Tomás Sánchez_El Anochecer.jpg,https://d32dm0rphc51dk.cloudfront.net/NrlGw_GiAKn7XRTn0coPpg/larger.jpg,https://www.artsy.net/artwork/tomas-sanchez-el-anochecer
Eric Zener,Free,2026,,,,,Eric Zener_Free.jpg,https://d32dm0rphc51dk.cloudfront.net/2R00eQ3q1FMGujOFTLpMfA/larger.jpg,https://www.artsy.net/artwork/eric-zener-free
Poonam Khanna,Eye in the Storm,2026,,,,,Poonam Khanna_Eye in the Storm.jpg,https://d32dm0rphc51dk.cloudfront.net/sW1hX0AEwv-v4jFj3pV9ow/larger.jpg,https://www.artsy.net/artwork/poonam-khanna-eye-in-the-storm
Shiri Phillips,Just Right,2026,,,,,Shiri Phillips_Just Right.jpg,https://d32dm0rphc51dk.cloudfront.net/NNpIelAub0ATrjlIcaeISQ/larger.jpg,https://www.artsy.net/artwork/shiri-phillips-just-right
Alex Breaux,Do you feel it?,2026,,,,,Alex Breaux_Do you feel it_.jpg,https://d32dm0rphc51dk.cloudfront.net/cTEPoy0-YM0rZqQr9_7FmQ/larger.jpg,https://www.artsy.net/artwork/alex-breaux-do-you-feel-it
Robert Indiana,'LOVE',1996,,,,,Robert Indiana_'LOVE'.jpg,https://d32dm0rphc51dk.cloudfront.net/ykv_mRl8axMVx9Ph846wEA/larger.jpg,https://www.artsy.net/artwork/robert-indiana-love-330
Marcel Dzama,Untitled,2002,,,,,Marcel Dzama_Untitled.jpg,https://d32dm0rphc51dk.cloudfront.net/qx6KQXYAaHsTA6ZM-5fyvA/larger.jpg,https://www.artsy.net/artwork/marcel-dzama-untitled-359
Matteo Massagrande,Interno VII,2012,,,,,Matteo Massagrande_Interno VII.jpg,https://d32dm0rphc51dk.cloudfront.net/6PkzYFcFZr6geaNwVJYCtg/larger.jpg,https://www.artsy.net/artwork/matteo-massagrande-interno-vii-1
Chris RWK,See the Sights Together,2026,,,,,Chris RWK_See the Sights Together.jpg,https://d32dm0rphc51dk.cloudfront.net/L_NGdDLvYHXEfeS64pDCqw/larger.jpg,https://www.artsy.net/artwork/chris-rwk-see-the-sights-together
Slawn,SLAWN Skate Deck Painting (Red & Purple,2024,,,,,Slawn_SLAWN Skate Deck Painting (Red & Purple.jpg,https://d32dm0rphc51dk.cloudfront.net/PMubclUA7_rUhKGAc405Dg/larger.jpg,https://www.artsy.net/artwork/slawn-slawn-skate-deck-painting-red-and-purple-28
